Model,FOV,Cluster_Key,Gene,Gene_Purity
Cellpose,10-11,cluster_0.30,TRAC,0.5702318549156189
Cellpose,10-11,cluster_0.40,CD19,0.8391040563583374
Cellpose,10-11,cluster_0.40,CD3E,0.7064007520675659
Cellpose,10-11,cluster_0.40,CD79A,0.7046746015548706
Cellpose,10-11,cluster_0.40,IL7R,0.6497464179992676
Cellpose,10-11,cluster_0.40,MS4A1,0.6850255727767944
Cellpose,10-11,cluster_0.40,TRAC,0.5640936493873596
Cellpose,13-14,cluster_0.30,CD19,0.7570146918296814
Cellpose,13-14,cluster_0.30,CD3E,0.7554963231086731
Cellpose,13-14,cluster_0.30,CD79A,0.6496137380599976
Cellpose,13-14,cluster_0.30,IL7R,0.7059840559959412
Cellpose,13-14,cluster_0.30,MS4A1,0.6535191535949707
Cellpose,13-14,cluster_0.30,TRAC,0.6390809416770935
Cellpose,13-14,cluster_0.40,CD19,0.7380967736244202
Cellpose,13-14,cluster_0.40,CD3E,0.7399163842201233
Cellpose,13-14,cluster_0.40,CD79A,0.6112637519836426
Cellpose,13-14,cluster_0.40,IL7R,0.6992012858390808
Cellpose,13-14,cluster_0.40,MS4A1,0.6066941022872925
Cellpose,13-14,cluster_0.40,TRAC,0.6292874217033386
Cellpose,13-14,cluster_0.45,CD19,0.737142026424408
Cellpose,13-14,cluster_0.45,CD3E,0.7136648297309875
Cellpose,13-14,cluster_0.45,CD79A,0.6018032431602478
Cellpose,13-14,cluster_0.45,IL7R,0.6732065677642822
Cellpose,13-14,cluster_0.45,MS4A1,0.5926540493965149
Cellpose,13-14,cluster_0.45,TRAC,0.6070610284805298
Cellpose,13-14,cluster_0.50,CD19,0.6859288215637207
Cellpose,13-14,cluster_0.50,CD3E,0.7146975994110107
Cellpose,13-14,cluster_0.50,CD79A,0.5730414986610413
Cellpose,13-14,cluster_0.50,IL7R,0.6724454164505005
Cellpose,13-14,cluster_0.50,MS4A1,0.5681226253509521
Cellpose,13-14,cluster_0.50,TRAC,0.6068034768104553
Cellpose,13-14,cluster_0.55,CD19,0.6904341578483582
Cellpose,13-14,cluster_0.55,CD3E,0.702019214630127
Cellpose,13-14,cluster_0.55,CD79A,0.5759289264678955
Cellpose,13-14,cluster_0.55,IL7R,0.6623122096061707
Cellpose,13-14,cluster_0.55,MS4A1,0.5675415992736816
Cellpose,13-14,cluster_0.55,TRAC,0.5970779061317444
Cellpose,13-14,cluster_0.60,CD19,0.687504231929779
Cellpose,13-14,cluster_0.60,CD3E,0.6935931444168091
Cellpose,13-14,cluster_0.60,CD79A,0.5722293257713318
Cellpose,13-14,cluster_0.60,IL7R,0.6543213129043579
Cellpose,13-14,cluster_0.60,MS4A1,0.5646724700927734
Cellpose,13-14,cluster_0.60,TRAC,0.5892575979232788
Cellpose,13-14,cluster_0.65,CD19,0.6827304363250732
Cellpose,13-14,cluster_0.65,CD3E,0.6908307075500488
Cellpose,13-14,cluster_0.65,CD79A,0.5658503770828247
Cellpose,13-14,cluster_0.65,IL7R,0.6505592465400696
Cellpose,13-14,cluster_0.65,MS4A1,0.556907594203949
Cellpose,13-14,cluster_0.65,TRAC,0.5880561470985413
Cellpose,13-14,cluster_0.70,CD19,0.6661215424537659
Cellpose,13-14,cluster_0.70,CD3E,0.6922171711921692
Cellpose,13-14,cluster_0.70,CD79A,0.5625289082527161
Cellpose,13-14,cluster_0.70,IL7R,0.6488637328147888
Cellpose,13-14,cluster_0.70,MS4A1,0.5350517630577087
Cellpose,13-14,cluster_0.70,TRAC,0.5866212844848633
Cellpose,15-16,cluster_0.40,CD19,0.8506657481193542
Cellpose,15-16,cluster_0.40,CD3E,0.779746413230896
Cellpose,15-16,cluster_0.40,CD79A,0.7313272356987
Cellpose,15-16,cluster_0.40,IL7R,0.7276196479797363
Cellpose,15-16,cluster_0.40,MS4A1,0.6756232976913452
Cellpose,15-16,cluster_0.40,TRAC,0.6346393823623657
Cellpose,15-16,cluster_0.45,CD19,0.849248468875885
Cellpose,15-16,cluster_0.45,CD3E,0.7748206257820129
Cellpose,15-16,cluster_0.45,CD79A,0.7303845286369324
Cellpose,15-16,cluster_0.45,IL7R,0.719906747341156
Cellpose,15-16,cluster_0.45,MS4A1,0.6738906502723694
Cellpose,15-16,cluster_0.45,TRAC,0.6292813420295715
Cellpose,15-16,cluster_0.50,CD19,0.8487430214881897
Cellpose,15-16,cluster_0.50,CD3E,0.7689258456230164
Cellpose,15-16,cluster_0.50,CD79A,0.7295853495597839
Cellpose,15-16,cluster_0.50,IL7R,0.71490877866745
Cellpose,15-16,cluster_0.50,MS4A1,0.6736576557159424
Cellpose,15-16,cluster_0.50,TRAC,0.6257843971252441
Cellpose,15-16,cluster_0.55,CD19,0.8044623136520386
Cellpose,15-16,cluster_0.55,CD3E,0.7576572895050049
Cellpose,15-16,cluster_0.55,CD79A,0.6941116452217102
Cellpose,15-16,cluster_0.55,IL7R,0.7010704278945923
Cellpose,15-16,cluster_0.55,MS4A1,0.6412302255630493
Cellpose,15-16,cluster_0.55,TRAC,0.6136507987976074
Cellpose,15-16,cluster_0.60,CD19,0.8105612993240356
Cellpose,15-16,cluster_0.60,CD3E,0.7590087056159973
Cellpose,15-16,cluster_0.60,CD79A,0.6976629495620728
Cellpose,15-16,cluster_0.60,IL7R,0.7043703198432922
Cellpose,15-16,cluster_0.60,MS4A1,0.644345760345459
Cellpose,15-16,cluster_0.60,TRAC,0.6158296465873718
Cellpose,15-16,cluster_0.65,CD19,0.802300751209259
Cellpose,15-16,cluster_0.65,CD3E,0.6806315183639526
Cellpose,15-16,cluster_0.65,CD79A,0.6897454261779785
Cellpose,15-16,cluster_0.65,IL7R,0.6227337718009949
Cellpose,15-16,cluster_0.65,MS4A1,0.6362943649291992
Cellpose,15-16,cluster_0.65,TRAC,0.5497491955757141
Cellpose,15-16,cluster_0.70,CD19,0.7921292185783386
Cellpose,15-16,cluster_0.70,CD3E,0.7137870788574219
Cellpose,15-16,cluster_0.70,CD79A,0.6811209917068481
Cellpose,15-16,cluster_0.70,IL7R,0.656790554523468
Cellpose,15-16,cluster_0.70,MS4A1,0.6283701062202454
Cellpose,15-16,cluster_0.70,TRAC,0.5786572694778442
Cellpose,15-16,cluster_0.80,CD19,0.7842251062393188
Cellpose,15-16,cluster_0.80,CD3E,0.6504986882209778
Cellpose,15-16,cluster_0.80,CD79A,0.6741403341293335
Cellpose,15-16,cluster_0.80,IL7R,0.5923062562942505
